# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2;w_tr_right_m;w_tr_left_m
4.5;4.19491084632453;-1.22643592544234;-0.733038285837621;-0.20943951023932;4;0;2;2
4.6;4.26851963515046;-1.29412452266682;-0.753982236861545;-0.20943951023932;4;0;2;2
4.7;4.34069469083269;-1.36333984845457;-0.774926187885481;-0.20943951023932;4;0;2;2
4.8;4.41140435384918;-1.43405154156633;-0.795870138909415;-0.20943951023932;4;0;2;2
4.9;4.48061760747101;-1.50622858438271;-0.816814089933341;-0.20943951023932;4;0;2;2
5;4.5483040913679;-1.57983931650998;-0.83775804095728;-0.20943951023932;4;0;2;2
5.1;4.61443411492569;-1.65485144866794;-0.858701991981207;-0.20943951023932;4;0;2;2
5.2;4.67897867027012;-1.73123207685354;-0.879645943005146;-0.20943951023932;4;0;2;2
5.3;4.74190944499113;-1.80894769677419;-0.900589894029081;-0.20943951023932;4;0;2;2
5.4;4.80319883456203;-1.88796421854441;-0.921533845053004;-0.20943951023932;4;0;2;2
5.5;4.86281995444823;-1.96824698163931;-0.942477796076934;-0.20943951023932;4;0;2;2
5.6;4.92074665190012;-2.04976077009841;-0.963421747100872;-0.20943951023932;4;0;2;2
5.7;4.97695351742493;-2.13246982797307;-0.984365698124803;-0.20943951023932;4;0;2;2
5.8;5.03141589593257;-2.21633787501082;-1.00530964914874;-0.20943951023932;4;0;2;2
5.9;5.08410989755062;-2.30132812256967;-1.02625360017267;-0.20943951023932;4;0;2;2
6;5.13501240810353;-2.38740328975538;-1.04719755119659;-0.20943951023932;4;0;2;2
6.1;5.18410109925169;-2.47452561977472;-1.06814150222053;-0.20943951023932;4;0;2;2
6.2;5.23135443828568;-2.56265689649743;-1.08908545324446;-0.20943951023932;4;0;2;2
6.3;5.27675169757164;-2.65175846121972;-1.11002940426839;-0.20943951023932;4;0;2;2
6.4;5.32027296364336;-2.74179122962185;-1.13097335529233;-0.20943951023932;4;0;2;2
6.5;5.36189914593735;-2.83271570891244;-1.15191730631626;-0.20943951023932;4;0;2;2
6.6;5.40161198516688;-2.92449201515194;-1.17286125734019;-0.20943951023932;4;0;2;2
6.7;5.43939406133141;-3.01707989074769;-1.19380520836412;-0.20943951023932;4;0;2;2
6.8;5.47522880135783;-3.11043872211289;-1.21474915938805;-0.20943951023932;4;0;2;2
6.9;5.50910048637026;-3.20452755748168;-1.23569311041199;-0.20943951023932;4;0;2;2
7;5.5409942585851;-3.29930512487263;-1.25663706143592;-0.20943951023932;4;0;2;2
7.1;5.57089612782839;-3.39472985019261;-1.27758101245985;-0.20943951023932;4;0;2;2
7.2;5.59879297767258;-3.49075987547329;-1.29852496348378;-0.20943951023932;4;0;2;2
7.3;5.62467257119003;-3.58735307723205;-1.31946891450772;-0.20943951023932;4;0;2;2
