# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
1376.4; 102.911; 0.00745; 554.1; -0.0; -1738.4
1379.5; 103.107; 0.00735; 554.4; -0.0; -1738.8
1382.6; 103.302; 0.00727; 554.5; -0.0; -1739.1
1385.7; 103.498; 0.00731; 555.2; -0.0; -1738.1
1388.8; 103.694; 0.00727; 556.3; -0.0; -1737.3
1391.9; 103.889; 0.00714; 557.4; -0.0; -1737.0
1395.0; 104.085; 0.00698; 558.3; -0.0; -1737.0
1398.1; 104.280; 0.00685; 559.1; -0.0; -1737.0
1401.2; 104.476; 0.00673; 559.5; -0.0; -1737.3
1404.3; 104.672; 0.00665; 559.5; -0.0; -1737.7
1407.4; 104.867; 0.00661; 559.0; -0.0; -1738.3
1410.5; 105.063; 0.00664; 558.1; -0.0; -1739.0
1413.6; 105.258; 0.00673; 557.0; -0.0; -1739.5
1416.7; 105.454; 0.00686; 555.8; -0.0; -1739.9
1419.8; 105.649; 0.00703; 554.7; -0.0; -1740.0
1422.9; 105.845; 0.00719; 554.1; -0.0; -1739.7
1426.0; 106.040; 0.00732; 554.0; -0.0; -1739.0
1429.1; 106.236; 0.00736; 554.2; -0.0; -1738.7
1432.2; 106.432; 0.00728; 554.0; -0.0; -1739.5
1435.3; 106.627; 0.00724; 553.3; -0.0; -1740.3
1438.4; 106.823; 0.00736; 553.2; -0.0; -1739.6
1441.5; 107.018; 0.00743; 553.5; -0.0; -1738.9
1444.6; 107.214; 0.00744; 554.2; -0.0; -1738.2
1447.7; 107.410; 0.00739; 555.5; -0.0; -1737.3
1450.8; 107.605; 0.00730; 557.6; -0.0; -1735.8
1453.9; 107.801; 0.00715; 560.9; -0.0; -1733.4
1457.0; 107.996; 0.00690; 566.1; -0.0; -1730.1
1460.1; 108.192; 0.00645; 572.9; -0.0; -1726.7
1463.2; 108.387; 0.00570; 579.7; -0.0; -1725.5
1466.3; 108.583; 0.00494; 585.8; -0.0; -1724.9
1469.4; 108.778; 0.00443; 592.7; -0.0; -1721.9
1472.5; 108.974; 0.00388; 599.7; -0.0; -1719.5
1475.6; 109.169; 0.00321; 605.0; -0.0; -1719.6
1478.7; 109.364; 0.00255; 606.2; -0.0; -1722.9
1481.8; 109.560; 0.00215; 601.5; -0.0; -1728.9
1484.9; 109.755; 0.00223; 591.3; -0.0; -1736.4
1488.0; 109.950; 0.00295; 578.6; -0.0; -1742.2
1491.1; 110.145; 0.00439; 569.5; -0.0; -1741.1
1494.2; 110.340; 0.00645; 574.9; -0.0; -1723.4
1497.3; 110.535; 0.00893; 624.1; -0.0; -1665.8
1500.4; 110.730; 0.01142; 843.9; -0.6; -1494.6
1503.5; 110.924; 0.01331; 15.4; -1292.2; -1118.8
