# x_r, y_r, x_l, y_l
9.700000000000001066e+00,4.000000000000000000e+00,9.700000000000001066e+00,-4.000000000000000000e+00
9.800000000000000711e+00,4.000000000000000000e+00,9.800000000000000711e+00,-4.000000000000000000e+00
9.900000000000000355e+00,4.000000000000000000e+00,9.900000000000000355e+00,-4.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+00,1.000000000000000178e+01,-4.000000000000000000e+00
1.007207414649701427e+01,4.000251587254226138e+00,1.012792422888070831e+01,-3.999553458388930949e+00
1.014414478020180965e+01,4.001006336754898030e+00,1.025584222291497305e+01,-3.998213855319537657e+00
1.021620838849337609e+01,4.002264211716589415e+00,1.038374774756023200e+01,-3.995981256082174582e+00
1.028826145909311229e+01,4.004025150832248414e+00,1.051163456888166259e+01,-3.992855769490585516e+00
1.036030048023600614e+01,4.006289068276187137e+00,1.063949645385601528e+01,-3.988837547876578071e+00
1.043232194084180442e+01,4.009055853708263228e+00,1.076732717067540257e+01,-3.983926787082602061e+00
1.050432233068612042e+01,4.012325372279260449e+00,1.089512048905102759e+01,-3.978123726452210462e+00
1.057629814057153084e+01,4.016097464637452319e+00,1.102287018051684164e+01,-3.971428648818395857e+00
1.064824586249860516e+01,4.020371946936382557e+00,1.115057001873311293e+01,-3.963841880489788139e+00
1.072016198983688007e+01,4.025148610843812591e+00,1.127821377978988338e+01,-3.955363791234780990e+00
