# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
793.6; 40.672; 17.49; -0.04201; 0.56861; -0.02968; 0.05400
796.7; 40.850; 17.40; -0.05976; 0.52365; -0.00405; 0.06627
799.8; 41.029; 17.31; -0.06945; 0.44673; -0.00056; 0.06765
802.9; 41.208; 17.23; -0.06697; 0.35397; -0.00699; 0.06839
806.0; 41.386; 17.75; -0.02750; -0.08971; 0.03051; 0.04783
809.1; 41.558; 18.30; -0.00522; -0.20253; 0.07500; 0.01100
812.2; 41.726; 18.57; -0.00007; -0.31453; 0.06367; -0.00964
815.3; 41.893; 18.60; 0.00828; -0.45913; 0.02027; -0.02504
818.4; 42.060; 18.54; 0.02276; -0.50771; -0.02698; -0.03667
821.5; 42.227; 18.46; 0.03750; -0.50030; -0.05097; -0.03976
824.6; 42.395; 18.37; 0.04926; -0.47856; -0.03295; -0.03751
827.7; 42.564; 18.29; 0.05674; -0.43943; 0.01382; -0.04332
830.8; 42.734; 18.25; 0.05143; -0.24967; 0.03207; -0.05915
833.9; 42.902; 18.76; 0.01701; 0.27177; -0.02258; -0.03846
837.0; 43.067; 18.79; -0.00216; 0.50214; -0.05013; 0.00610
840.1; 43.232; 18.74; -0.02260; 0.52494; -0.01815; 0.03905
843.2; 43.398; 18.66; -0.03951; 0.50506; 0.02766; 0.05220
846.3; 43.564; 18.57; -0.05232; 0.48310; 0.04155; 0.04871
849.4; 43.732; 18.47; -0.06187; 0.46407; 0.00068; 0.04196
852.5; 43.900; 18.39; -0.06714; 0.41186; -0.06860; 0.04800
855.6; 44.069; 18.35; -0.05762; 0.20310; -0.09720; 0.06361
858.7; 44.236; 18.85; -0.01780; -0.27311; -0.03587; 0.04342
861.8; 44.400; 18.82; 0.00214; -0.47265; 0.00902; -0.00005
864.9; 44.565; 18.75; 0.02064; -0.51627; -0.01034; -0.03460
868.0; 44.731; 18.68; 0.03664; -0.49472; -0.05169; -0.04833
871.1; 44.897; 18.59; 0.04798; -0.46786; -0.06214; -0.04292
874.2; 45.064; 18.50; 0.05551; -0.45043; -0.01756; -0.03467
877.3; 45.232; 18.41; 0.06027; -0.43134; 0.05036; -0.04241
880.4; 45.401; 18.34; 0.05693; -0.29691; 0.07337; -0.06511
883.5; 45.568; 18.85; 0.02098; 0.24853; 0.00588; -0.05042
886.6; 45.733; 18.66; -0.00191; 0.52356; -0.04362; 0.00102
889.7; 45.899; 18.61; -0.02366; 0.52738; -0.01878; 0.03945
892.8; 46.066; 18.53; -0.04038; 0.50576; 0.02322; 0.05019
895.9; 46.234; 18.44; -0.05300; 0.48465; 0.02237; 0.04359
899.0; 46.402; 18.34; -0.06259; 0.46896; -0.03291; 0.04048
902.1; 46.572; 18.26; -0.06854; 0.42358; -0.09867; 0.05354
905.2; 46.742; 18.20; -0.06144; 0.23695; -0.11028; 0.07330
908.3; 46.911; 18.70; -0.02021; -0.27179; -0.03078; 0.05133
911.4; 47.076; 18.79; 0.00052; -0.46973; 0.02224; 0.00133
