# x_r, y_r, x_l, y_l
6.099428603685683292e+00,5.347327154122934800e+00,1.005096353635953221e+01,-1.608632281918817242e+00
6.161972439135290358e+00,5.383146346418012484e+00,1.016197243913529036e+01,-1.545056883857496288e+00
6.224264687330672174e+00,5.419401300619949069e+00,1.027253480029998300e+01,-1.480708053038110705e+00
6.286302312235533485e+00,5.456090249713422935e+00,1.038264523120010807e+01,-1.415588925731892544e+00
6.348082290223554303e+00,5.493211405530812996e+00,1.049229836520859394e+01,-1.349702675753240655e+00
6.409601610225771573e+00,5.530762958839360977e+00,1.060148885798640706e+01,-1.283052514305019542e+00
6.470857273877311577e+00,5.568743079429330223e+00,1.071021138774295167e+01,-1.215641689822078320e+00
6.531846295663553015e+00,5.607149916203228557e+00,1.081846065549552449e+01,-1.147473487812892046e+00
6.592565703065616844e+00,5.645981597266015228e+00,1.092623138532753657e+01,-1.078551230699458685e+00
6.653012536705244173e+00,5.685236230016334602e+00,1.103351832464564808e+01,-1.008878277655357536e+00
6.713183850489045312e+00,5.724911901238773027e+00,1.114031624443579815e+01,-9.384580244420224204e-01
6.773076711752072931e+00,5.765006677197082041e+00,1.124661993951804817e+01,-8.672939032432509521e-01
6.832688201400767269e+00,5.805518603728454963e+00,1.135242422880027036e+01,-7.953893824979054727e-01
6.892015414055221001e+00,5.846445706338739612e+00,1.145772395553067469e+01,-7.227479667308909228e-01
6.951055458190785963e+00,5.887785990298697314e+00,1.156251398754913140e+01,-6.493731963823314857e-01
7.009805456279007529e+00,5.929537440741208698e+00,1.166678921753732112e+01,-5.752686476350135081e-01
7.068262544927859992e+00,5.971698022759483138e+00,1.177054456326764509e+01,-5.004379322400964725e-01
7.126423875021315801e+00,6.014265681506232752e+00,1.187377496785092745e+01,-4.248846973410795869e-01
7.184286611858196281e+00,6.057238342293823408e+00,1.197647539998288124e+01,-3.486126252960453087e-01
7.241847935290342875e+00,6.100613910695393827e+00,1.207864085418934152e+01,-2.716254334981762497e-01
7.299105039860057431e+00,6.144390272646933937e+00,1.218026635107019828e+01,-1.939268741945916474e-01
7.356055134936839934e+00,6.188565294550324225e+00,1.228134693754210716e+01,-1.155207343034518885e-01
7.412695444853405036e+00,6.233136823377314784e+00,1.238187768707988923e+01,-3.641083522940213868e-02
7.469023209040948963e+00,6.278102686774470698e+00,1.248185369995663407e+01,4.339896732267867208e-02
7.525035682163714768e+00,6.323460693169051794e+00,1.258127010348252384e+01,1.239047835356164029e-01
7.580730134252785746e+00,6.369208631875814319e+00,1.268012205224230371e+01,2.051026896695002932e-01
7.636103850839138119e+00,6.415344273204768299e+00,1.277840472833145213e+01,2.869887282529450800e-01
